桃園縣,"21,425_ ",40.09%,"12,542_ ",27.33%,"33,967_ ",335_ ,0_ ,,,,,
宜蘭縣,"10,586_ ",39.24%,"6,825_ ",28.57%,"17,411_ ","1,740_ ",0_ ,,,,,
新竹縣,"13,370_ ",44.87%,"7,268_ ",29.91%,"20,638_ ","12,775_ ",0_ ,,,,,
苗栗縣,"12,423_ ",42.34%,"5,746_ ",28.26%,"18,169_ ","2,902_ ",0_ ,,,,,
臺中縣,"23,978_ ",38.38%,"10,317_ ",24.86%,"34,295_ ","10,774_ ",20_ ,,,,,
彰化縣,"11,163_ ",29.69%,"4,144_ ",12.48%,"15,307_ ","1,493_ ",0_ ,,,,,
南投縣,"12,317_ ",36.91%,"3,854_ ",14.93%,"16,171_ ",181_ ,0_ ,,,,,
雲林縣,"14,009_ ",40.19%,"6,546_ ",26.95%,"20,555_ ","7,766_ ",0_ ,,,,,
嘉義縣,"12,475_ ",36.81%,"6,009_ ",25.71%,"18,484_ ","3,250_ ",0_ ,,,,,
臺南縣,"17,716_ ",44.97%,"9,054_ ",27.16%,"26,770_ ","10,942_ ","1,461_ ",,,,,
高雄縣,"12,197_ ",28.20%,"9,104_ ",24.91%,"21,301_ ",0_ ,0_ ,,,,,
屏東縣,"15,400_ ",40.32%,"5,070_ ",17.10%,"20,470_ ",0_ ,0_ ,,,,,
臺東縣,"3,600_ ",25.28%,"2,636_ ",21.28%,"6,236_ ",210_ ,425_ ,,,,,
花蓮縣,"6,755_ ",33.79%,"3,600_ ",21.27%,"10,355_ ",0_ ,0_ ,,,,,
澎湖縣,"1,100_ ",12.45%,132_ ,1.68%,"1,232_ ",0_ ,0_ ,,,,,
基隆市,"7,388_ ",39.82%,"2,400_ ",14.67%,"9,788_ ",0_ ,0_ ,,,,,
新竹市,"9,090_ ",43.02%,"4,175_ ",23.71%,"13,265_ ","1,315_ ",0_ ,,,,,
臺中市,"7,134_ ",16.86%,"2,966_ ",8.02%,"10,100_ ","5,557_ ",0_ ,,,,,
嘉義市,"3,107_ ",20.73%,"2,039_ ",18.89%,"5,146_ ",21_ ,0_ ,,,,,
臺南市,"13,798_ ",43.43%,"7,140_ ",29.08%,"20,938_ ","3,520_ ",911_ ,,,,,
金門縣,0_ ,0.00%,0_ ,0.00%,0_ ,150_ ,0_ ,,,,,
連江縣,0_ ,0.00%,0_ ,0.00%,0_ ,0_ ,0_ ,,,,,
鄉鎮市,"6,808_ ",0.05%,504_ ,0.40%,"7,312_ ","2,208_ ",4_ ,,,,,
註1：中央政府、直轄市及縣(市)政府為審定決算數，鄉(鎮、市)公所為決算數。,,,,,,,,,,,,
註2：依據103年1月1日新公共債務法施行前之該法第4條規定，各級政府債限如下：,,,,,,,,,,,,
 (1) 一年以上非自償債務：中央及各地方政府所舉借之一年以上非自償債務未償餘額不得超過前三年度名目GNP(國民生產毛額)平均數之48%【中央40%，地方8%－其中臺北市3.6%、高雄市1.8%,,,,,,,,,,,,
　　　　、縣(市)2%、鄉(鎮、市)0.6%】。個別縣(市)及鄉(鎮、市)舉借一年以上非自償債務未償餘額占各該政府總預算及特別預算歲出總額之比率，各不得超過45%及25%。,,,,,,,,,,,,
 (2) 未滿一年債務：中央及各地方政府未滿一年債務未償餘額占總預算及特別預算歲出總額之比率，分別不得超過15%及30%。,,,,,,,,,,,,
註3：「*」表示債務超限。,,,,,,,,,,,,
表1-1.  縣(市)政府債務負擔表－債務餘額,,,,,,,,,,,,
截至96年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元,,,,,
政 府 別,普通基金債務餘額,,,非營業基金債務餘額,,,1年以上,,,,,
非自償債務,,,,,,,,,,,,
"總計""""",付息數,,,,,,,,,,,
,1 年 以 上,,未 滿 1 年,1 年 以 上,,未 滿 1 年,,,,,,
,自償,非自償,,自償,非自償,,,,,,,
合　計,"5,688_ ","267,838_ ","135,181_ ","61,357_ ",0_ ,"2,817_ ","267,838_ ","8,167_ ",,,,
臺北縣,"1,100_ ","38,807_ ","23,614_ ","3,014_ ",0_ ,0_ ,"38,807_ ","1,027_ ",,,,
桃園縣,0_ ,"21,425_ ","12,542_ ",335_ ,0_ ,0_ ,"21,425_ ",549_ ,,,,
宜蘭縣,"1,035_ ","10,586_ ","6,825_ ",705_ ,0_ ,0_ ,"10,586_ ",403_ ,,,,
新竹縣,0_ ,"13,370_ ","7,268_ ","12,775_ ",0_ ,0_ ,"13,370_ ",586_ ,,,,
苗栗縣,0_ ,"12,423_ ","5,746_ ","2,902_ ",0_ ,0_ ,"12,423_ ",357_ ,,,,
臺中縣,0_ ,"23,978_ ","10,317_ ","10,774_ ",0_ ,20_ ,"23,978_ ",983_ ,,,,
彰化縣,0_ ,"11,163_ ","4,144_ ","1,493_ ",0_ ,0_ ,"11,163_ ",315_ ,,,,
南投縣,0_ ,"12,317_ ","3,854_ ",181_ ,0_ ,0_ ,"12,317_ ",319_ ,,,,
雲林縣,0_ ,"14,009_ ","6,546_ ","7,766_ ",0_ ,0_ ,"14,009_ ",548_ ,,,,
嘉義縣,"3,250_ ","12,475_ ","6,009_ ",0_ ,0_ ,0_ ,"12,475_ ",345_ ,,,,
臺南縣,303_ ,"17,716_ ","9,054_ ","10,639_ ",0_ ,"1,461_ ","17,716_ ",760_ ,,,,
高雄縣,0_ ,"12,197_ ","9,104_ ",0_ ,0_ ,0_ ,"12,197_ ",239_ ,,,,
屏東縣,0_ ,"15,400_ ","5,070_ ",0_ ,0_ ,0_ ,"15,400_ ",345_ ,,,,
臺東縣,0_ ,"3,600_ ","2,636_ ",210_ ,0_ ,425_ ,"3,600_ ",123_ ,,,,
花蓮縣,0_ ,"6,755_ ","3,600_ ",0_ ,0_ ,0_ ,"6,755_ ",193_ ,,,,
澎湖縣,0_ ,"1,100_ ",132_ ,0_ ,0_ ,0_ ,"1,100_ ",25_ ,,,,
基隆市,0_ ,"7,388_ ","2,400_ ",0_ ,0_ ,0_ ,"7,388_ ",137_ ,,,,
新竹市,0_ ,"9,090_ ","4,175_ ","1,315_ ",0_ ,0_ ,"9,090_ ",241_ ,,,,
臺中市,0_ ,"7,134_ ","2,966_ ","5,557_ ",0_ ,0_ ,"7,134_ ",121_ ,,,,
嘉義市,0_ ,"3,107_ ","2,039_ ",21_ ,0_ ,0_ ,"3,107_ ",66_ ,,,,
臺南市,0_ ,"13,798_ ","7,140_ ","3,520_ ",0_ ,911_ ,"13,798_ ",479_ ,,,,
金門縣,0_ ,0_ ,0_ ,150_ ,0_ ,0_ ,0_ ,6_ ,,,,
連江縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
表1-2.  鄉(鎮、市)公所債務負擔表－債務餘額,,,,,,,,,,,,
截至96年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元,,,,,
政 府 別,普通基金債務餘額,,,非營業基金債務餘額,,,1年以上,,,,,
非自償債務,,,,,,,,,,,,
"總計""""",付息數,,,,,,,,,,,
,1 年 以 上,,未 滿 1 年,1 年 以 上,,未 滿 1 年,,,,,,
,自償,非自償,,自償,非自償,,,,,,,
合　計,129_ ,"6,751_ ",504_ ,"2,079_ ",57_ ,4_ ,"6,808_ ",175_ ,,,,
臺北縣,0_ ,"1,277_ ",0_ ,35_ ,12_ ,0_ ,"1,289_ ",13_ ,,,,
桃園縣,0_ ,455_ ,316_ ,0_ ,0_ ,0_ ,455_ ,11_ ,,,,
宜蘭縣,0_ ,69_ ,0_ ,0_ ,0_ ,0_ ,69_ ,1_ ,,,,
新竹縣,0_ ,0_ ,0_ ,9_ ,0_ ,0_ ,0_ ,0_ ,,,,
苗栗縣,0_ ,51_ ,0_ ,99_ ,0_ ,0_ ,51_ ,2_ ,,,,
臺中縣,0_ ,666_ ,0_ ,0_ ,0_ ,0_ ,666_ ,17_ ,,,,
彰化縣,0_ ,312_ ,0_ ,142_ ,45_ ,0_ ,357_ ,11_ ,,,,
南投縣,48_ ,450_ ,5_ ,192_ ,0_ ,0_ ,450_ ,17_ ,,,,
雲林縣,0_ ,127_ ,0_ ,294_ ,0_ ,4_ ,127_ ,8_ ,,,,
嘉義縣,0_ ,880_ ,0_ ,274_ ,0_ ,0_ ,880_ ,8_ ,,,,
臺南縣,0_ ,"1,752_ ",0_ ,552_ ,0_ ,0_ ,"1,752_ ",52_ ,,,,
高雄縣,0_ ,504_ ,0_ ,187_ ,0_ ,0_ ,504_ ,20_ ,,,,
屏東縣,81_ ,158_ ,21_ ,284_ ,0_ ,0_ ,158_ ,11_ ,,,,
臺東縣,0_ ,50_ ,0_ ,11_ ,0_ ,0_ ,50_ ,0_ ,,,,
花蓮縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
澎湖縣,0_ ,0_ ,162_ ,0_ ,0_ ,0_ ,0_ ,4_ ,,,,
金門縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
連江縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
表1.  各級政府債務負擔表－債務餘額,,,,,,,,,,,,
截至96年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元,,,,,
,普通基金債務餘額,,,非營業基金債務餘額,,,1年以上,,,,,
非自償債務,,,,,,,,,,,,
"總計""""",付息數,,,,,,,,,,,
,1 年 以 上,,未 滿 1 年,1 年 以 上,,未 滿 1 年,,,,,,
　政 府 別,自償,非自償,,自償,非自償,,,,,,,
　合　　計,"22,417_ ","4,281,841_ ","200,685_ ","502,852_ ","15,533_ ","158,601_ ","4,297,374_ ","156,831_ ",,,,
　中央政府,"15,000_ ","3,718,196_ ","65,000_ ","415,547_ ",0_ ,"151,370_ ","3,718,196_ ","140,700_ ",,,,
　地方政府,"7,417_ ","563,645_ ","135,685_ ","87,305_ ","15,533_ ","7,231_ ","579,178_ ","16,131_ ",,,,
　　臺北市,"1,600_ ","170,468_ ",0_ ,"9,573_ ",0_ ,"4,410_ ","170,468_ ","5,658_ ",,,,
　　高雄市,0_ ,"118,588_ ",0_ ,"14,296_ ","15,476_ ",0_ ,"134,064_ ","2,131_ ",,,,
　　縣　市 (表1-1),"5,688_ ","267,838_ ","135,181_ ","61,357_ ",0_ ,"2,817_ ","267,838_ ","8,167_ ",,,,
　　鄉鎮市 (表1-2),129_ ,"6,751_ ",504_ ,"2,079_ ",57_ ,4_ ,"6,808_ ",175_ ,,,,
說明：,,,,,,,,,,,,
　　1.中央政府、直轄市及縣(市)政府為審定決算數，鄉(鎮、市)公所為決算數。,,,,,,,,,,,,
　　2.本表為各級政府為應公共事務支出所舉借之債務，包括公債、國庫券、國內外借款。普通基金包括總預算及特別預算。,,,,,,,,,,,,
"　　3.1年以上自償性債務總計525,269百萬元，係有特定財源用以償債，依公共債務法規定不計入債限。",,,,,,,,,,,,
"　　4.未滿1年之債務總計359,286百萬元，係為調節庫款收支所舉借之債務，其中普通基金200,685百萬元，受公共債務法債限管制。",,,,,,,,,,,,
　　5.因擔保、保證或契約可能造成未來會計年度支出：,,,,,,,,,,,,
"　　　(1)中央政府：中央政府：普通基金（交通部）325,880百萬元；非營業基金3,692百萬元。",,,,,,,,,,,,
"　　　(2)直轄市及縣(市)政府：共計53,855百萬元，分別為高雄市30,494百萬元、基隆市85百萬元、臺北縣20,580百萬元、桃園縣596百萬元、",,,,,,,,,,,,
"                 臺中縣1,488百萬元、雲林縣476百萬元、高雄縣17百萬元及屏東縣119百萬元。",,,,,,,,,,,,
表2-1.  縣(市)政府債務負擔表－債務比率,,,,,,,,,,,,
截至96年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,　　　　　　　　　單位：％　,,,,,,,,
政府別,   1年以上非自償債務餘額,,未滿1年債務餘額,,,,,,,,,
,占歲出比率,法定比率,占歲出比率,法定比率,,,,,,,,
合　計,36.17%,45.00%,22.67%,30.00%,,,,,,,,
臺北縣,42.48%,45.00%,30.04%,30.00%,,,,,,,,
桃園縣,40.09%,45.00%,27.33%,30.00%,,,,,,,,
宜蘭縣,39.24%,45.00%,28.57%,30.00%,,,,,,,,
新竹縣,44.87%,45.00%,29.91%,30.00%,,,,,,,,
苗栗縣,42.34%,45.00%,28.26%,30.00%,,,,,,,,
臺中縣,38.38%,45.00%,24.86%,30.00%,,,,,,,,
彰化縣,29.69%,45.00%,12.48%,30.00%,,,,,,,,
南投縣,36.91%,45.00%,14.93%,30.00%,,,,,,,,
雲林縣,40.19%,45.00%,26.95%,30.00%,,,,,,,,
嘉義縣,36.81%,45.00%,25.71%,30.00%,,,,,,,,
臺南縣,44.97%,45.00%,27.16%,30.00%,,,,,,,,
高雄縣,28.20%,45.00%,24.91%,30.00%,,,,,,,,
屏東縣,40.32%,45.00%,17.10%,30.00%,,,,,,,,
臺東縣,25.28%,45.00%,21.28%,30.00%,,,,,,,,
花蓮縣,33.79%,45.00%,21.27%,30.00%,,,,,,,,
澎湖縣,12.45%,45.00%,1.68%,30.00%,,,,,,,,
基隆市,39.82%,45.00%,14.67%,30.00%,,,,,,,,
新竹市,43.02%,45.00%,23.71%,30.00%,,,,,,,,
臺中市,16.86%,45.00%,8.02%,30.00%,,,,,,,,
嘉義市,20.73%,45.00%,18.89%,30.00%,,,,,,,,
臺南市,43.43%,45.00%,29.08%,30.00%,,,,,,,,
金門縣,0.00%,45.00%,0.00%,30.00%,,,,,,,,
連江縣,0.00%,45.00%,0.00%,30.00%,,,,,,,,
 ,,,,,,,,,,,,
表2-2.  鄉(鎮、市)公所債務負擔表－債務比率,,,,,,,,,,,,
截至96年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,　　　　　　　　　單位：％　　,,,,,,,,
政府別,   1年以上非自償債務餘額,,未滿1年債務餘額,,,,,,,,,
,占歲出比率,法定比率,占歲出比率,法定比率,,,,,,,,
合　計,4.18%,25.00%,0.40%,30.00%,,,,,,,,
臺北縣,3.36%,25.00%,0.00%,30.00%,,,,,,,,
桃園縣,2.25%,25.00%,2.01%,30.00%,,,,,,,,
宜蘭縣,1.62%,25.00%,0.00%,30.00%,,,,,,,,
新竹縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
苗栗縣,0.86%,25.00%,0.00%,30.00%,,,,,,,,
臺中縣,3.95%,25.00%,0.00%,30.00%,,,,,,,,
彰化縣,3.35%,25.00%,0.00%,30.00%,,,,,,,,
南投縣,6.60%,25.00%,0.10%,30.00%,,,,,,,,
雲林縣,1.33%,25.00%,0.00%,30.00%,,,,,,,,
嘉義縣,18.21%,25.00%,0.00%,30.00%,,,,,,,,
臺南縣,16.22%,25.00%,0.00%,30.00%,,,,,,,,
高雄縣,4.47%,25.00%,0.00%,30.00%,,,,,,,,
屏東縣,1.97%,25.00%,0.29%,30.00%,,,,,,,,
臺東縣,1.98%,25.00%,0.00%,30.00%,,,,,,,,
花蓮縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
澎湖縣,0.00%,25.00%,12.96%,30.00%,,,,,,,,
金門縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
連江縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
 ,,,,,,,,,,,,
表2.  各級政府債務負擔表－債務比率,,,,,,,,,,,,
截至96年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,單位：％　　,,,,,,
,   1年以上非自償債務餘額,,,,未滿1年債務餘額,,,,,,,
  政 府 別,占歲出比率,法定比率,占前3年度名目國民,,,,,,,,,
"生產毛額平均數比率""""",法定比率,占歲出比率,法定比率,,,,,,,,,
　合　　計,－,－,34.51%,48.00%,－,－,,,,,,
　中央政府,－,－,29.86%,40.00%,3.76%,15.00%,,,,,,
　地方政府,－,－,4.65%,8.00%,－,－,,,,,,
　　臺北市,－,－,1.37%,3.60%,0.00%,30.00%,,,,,,
　　高雄市,－,－,1.08%,1.80%,0.00%,30.00%,,,,,,
　　縣　市 (表2-1),36.17%,45.00%,2.15%,2.00%,22.67%,30.00%,,,,,,
　　鄉鎮市 (表2-2),4.18%,25.00%,0.05%,0.60%,0.40%,30.00%,,,,,,
說明：1.依據公共債務法規定：,,,,,,,,,,,,
　　　　(1)1年以上非自償債務，係指中央及地方政府在普通基金及非營業基金預算內，所舉借1年以上非自償債務。,,,,,,,,,,,,
　　　　(2)未滿1年債務，係指中央及地方政府為普通基金調度所舉借未滿1年債務。,,,,,,,,,,,,
      2.行政院主計總處配合聯合國國民經濟會計制度之修訂，將原國民生產毛額(GNP)改稱為國民所得毛額(GNI)。,,,,,,,,,,,,
"        該總處105年10月28日公布之前3年度(93年度至95年度)名目國民所得毛額(GNI)平均數為12,452,455百萬元。",,,,,,,,,,,,
各級政府公共債務概況總表,,,,,,,,,,,,
97年度,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元；％,,,,,
　　　  　   　項目,,,,,,,,,未滿一年債務,,,
" 政府別""""",公共債務法規範之債務,,,,,其他債務,,,(非基),,,
,一年以上債務,,未滿一年債務,,債務合計,自償性債務,非營業基金,,,,,
"未滿一年債務""""",,,,,,,,,"204,416_ ",,,
,金額,比率,金額,比率,,,,,"198,112_ ",,,
,-1,-2,-3,-4,(5)=(1)+(3),-6,-7,,"6,304_ ",,,
合 　   計,"4,374,488_ ",33.58%,"262,878_ ",－,"4,637,366_ ","489,087_ ","204,416_ ",,"4,846_ ",,,
中央政府,"3,778,245_ ",29.01%,"131,816_ ",7.10%,"3,910,061_ ","393,429_ ","198,112_ ",,"2,368_ ",,,
地方政府,"596,243_ ",4.58%,"131,062_ ",－,"727,305_ ","95,658_ ","6,304_ ",,"2,478_ ",,,
直轄市,"310,156_ ",－,0_ ,－,"310,156_ ","20,807_ ","4,846_ ",,"1,387_ ",,,
臺北市,"167,164_ ",1.28%,0_ ,0.00%,"167,164_ ","8,192_ ","2,368_ ",,0_ ,,,
高雄市,"142,992_ ",1.10%,0_ ,0.00%,"142,992_ ","12,615_ ","2,478_ ",,0_ ,,,
縣市,"279,832_ ",2.15%,"130,581_ ",19.65%,"410,413_ ","72,455_ ","1,387_ ",,0_ ,,,
臺北縣,"39,042_ ",34.23%,"23,593_ ",23.00%,"62,635_ ",864_ ,0_ ,,0_ ,,,
桃園縣,"22,925_ ",41.94%,"13,112_ ",26.43%,"36,037_ ","2,786_ ",0_ ,,0_ ,,,
宜蘭縣,"13,005_ ",39.60%,"6,903_ ",23.13%,"19,908_ ","2,210_ ",0_ ,,0_ ,,,
新竹縣,"14,560_ ",44.52%,"5,619_ ",21.61%,"20,179_ ","16,178_ ",0_ ,,0_ ,,,
苗栗縣,"14,413_ ",40.34%,"6,960_ ",26.23%,"21,373_ ","2,779_ ",0_ ,,0_ ,,,
臺中縣,"25,978_ ",39.89%,"8,316_ ",18.67%,"34,294_ ","12,382_ ",0_ ,,0_ ,,,
彰化縣,"9,371_ ",23.98%,"5,414_ ",16.18%,"14,785_ ","1,456_ ",0_ ,,0_ ,,,
南投縣,"11,527_ ",34.80%,"4,658_ ",19.50%,"16,185_ ",127_ ,0_ ,,0_ ,,,
雲林縣,"14,796_ ",38.39%,"6,021_ ",22.82%,"20,817_ ","6,654_ ",0_ ,,0_ ,,,
嘉義縣,"12,924_ ",34.72%,"6,461_ ",25.52%,"19,385_ ","3,470_ ",0_ ,,0_ ,,,
臺南縣,"17,715_ ",40.78%,"9,974_ ",27.44%,"27,689_ ","11,797_ ",0_ ,,425_ ,,,
高雄縣,"15,592_ ",33.47%,"5,500_ ",14.35%,"21,092_ ",0_ ,0_ ,,0_ ,,,
屏東縣,"15,060_ ",36.37%,"3,580_ ",11.08%,"18,640_ ",0_ ,0_ ,,0_ ,,,
臺東縣,"3,372_ ",21.76%,"2,640_ ",19.80%,"6,012_ ",200_ ,425_ ,,0_ ,,,
花蓮縣,"7,131_ ",36.41%,"4,137_ ",24.60%,"11,268_ ",0_ ,0_ ,,0_ ,,,
澎湖縣,"1,100_ ",11.58%,37_ ,0.44%,"1,137_ ",0_ ,0_ ,,0_ ,,,
基隆市,"8,094_ ",42.86%,"1,808_ ",10.84%,"9,902_ ",0_ ,0_ ,,0_ ,,,
新竹市,"9,365_ ",42.23%,"5,112_ ",27.41%,"14,477_ ","2,195_ ",0_ ,,962_ ,,,
臺中市,"5,237_ ",10.46%,"2,272_ ",5.35%,"7,509_ ","5,607_ ",0_ ,,0_ ,,,
嘉義市,"3,127_ ",20.44%,816_ ,7.18%,"3,943_ ",49_ ,0_ ,,0_ ,,,
臺南市,"15,498_ ",43.44%,"7,648_ ",27.20%,"23,146_ ","3,601_ ",962_ ,,71_ ,,,
金門縣,0_ ,0.00%,0_ ,0.00%,0_ ,100_ ,0_ ,,,,,
連江縣,0_ ,0.00%,0_ ,0.00%,0_ ,0_ ,0_ ,,,,,
鄉鎮市,"6,255_ ",0.05%,481_ ,0.35%,"6,736_ ","2,396_ ",71_ ,,,,,
註1：中央政府、直轄市及縣(市)政府為審定決算數，鄉(鎮、市)公所為決算數。,,,,,,,,,,,,
註2：依據103年1月1日新公共債務法施行前之該法第4條規定，各級政府債限如下：,,,,,,,,,,,,
 (1) 一年以上非自償債務：中央及各地方政府所舉借之一年以上非自償債務未償餘額不得超過前三年度名目GNP(國民生產毛額)平均數之48%【中央40%，地方8%－其中臺北市3.6%、高雄市1.8%,,,,,,,,,,,,
　　　　、縣(市)2%、鄉(鎮、市)0.6%】。個別縣(市)及鄉(鎮、市)舉借一年以上非自償債務未償餘額占各該政府總預算及特別預算歲出總額之比率，各不得超過45%及25%。,,,,,,,,,,,,
 (2) 未滿一年債務：中央及各地方政府未滿一年債務未償餘額占總預算及特別預算歲出總額之比率，分別不得超過15%及30%。,,,,,,,,,,,,
註3：「*」表示債務超限。,,,,,,,,,,,,
表1-1.  縣(市)政府債務負擔表－債務餘額,,,,,,,,,,,,
截至97年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元,,,,,
政 府 別,普通基金債務餘額,,,非營業基金債務餘額,,,1年以上,,,,,
非自償債務,,,,,,,,,,,,
"總計""""",付息數,,,,,,,,,,,
,1 年 以 上,,未 滿 1 年,1 年 以 上,,未 滿 1 年,,,,,,
,自償,非自償,,自償,非自償,,,,,,,
合　計,"5,520_ ","279,832_ ","130,581_ ","66,935_ ",0_ ,"1,387_ ","279,832_ ","10,547_ ",,,,
臺北縣,864_ ,"39,042_ ","23,593_ ",0_ ,0_ ,0_ ,"39,042_ ","1,646_ ",,,,
桃園縣,0_ ,"22,925_ ","13,112_ ","2,786_ ",0_ ,0_ ,"22,925_ ",790_ ,,,,
宜蘭縣,"1,035_ ","13,005_ ","6,903_ ","1,175_ ",0_ ,0_ ,"13,005_ ",418_ ,,,,
新竹縣,0_ ,"14,560_ ","5,619_ ","16,178_ ",0_ ,0_ ,"14,560_ ",795_ ,,,,
苗栗縣,0_ ,"14,413_ ","6,960_ ","2,779_ ",0_ ,0_ ,"14,413_ ",463_ ,,,,
臺中縣,0_ ,"25,978_ ","8,316_ ","12,382_ ",0_ ,0_ ,"25,978_ ","1,048_ ",,,,
彰化縣,0_ ,"9,371_ ","5,414_ ","1,456_ ",0_ ,0_ ,"9,371_ ",391_ ,,,,
南投縣,0_ ,"11,527_ ","4,658_ ",127_ ,0_ ,0_ ,"11,527_ ",375_ ,,,,
雲林縣,0_ ,"14,796_ ","6,021_ ","6,654_ ",0_ ,0_ ,"14,796_ ",541_ ,,,,
嘉義縣,"3,470_ ","12,924_ ","6,461_ ",0_ ,0_ ,0_ ,"12,924_ ",457_ ,,,,
臺南縣,151_ ,"17,715_ ","9,974_ ","11,646_ ",0_ ,0_ ,"17,715_ ",913_ ,,,,
高雄縣,0_ ,"15,592_ ","5,500_ ",0_ ,0_ ,0_ ,"15,592_ ",358_ ,,,,
屏東縣,0_ ,"15,060_ ","3,580_ ",0_ ,0_ ,0_ ,"15,060_ ",530_ ,,,,
臺東縣,0_ ,"3,372_ ","2,640_ ",200_ ,0_ ,425_ ,"3,372_ ",148_ ,,,,
花蓮縣,0_ ,"7,131_ ","4,137_ ",0_ ,0_ ,0_ ,"7,131_ ",245_ ,,,,
澎湖縣,0_ ,"1,100_ ",37_ ,0_ ,0_ ,0_ ,"1,100_ ",28_ ,,,,
基隆市,0_ ,"8,094_ ","1,808_ ",0_ ,0_ ,0_ ,"8,094_ ",185_ ,,,,
新竹市,0_ ,"9,365_ ","5,112_ ","2,195_ ",0_ ,0_ ,"9,365_ ",360_ ,,,,
臺中市,0_ ,"5,237_ ","2,272_ ","5,607_ ",0_ ,0_ ,"5,237_ ",131_ ,,,,
嘉義市,0_ ,"3,127_ ",816_ ,49_ ,0_ ,0_ ,"3,127_ ",76_ ,,,,
臺南市,0_ ,"15,498_ ","7,648_ ","3,601_ ",0_ ,962_ ,"15,498_ ",646_ ,,,,
金門縣,0_ ,0_ ,0_ ,100_ ,0_ ,0_ ,0_ ,3_ ,,,,
連江縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
表1-2.  鄉(鎮、市)公所債務負擔表－債務餘額,,,,,,,,,,,,
截至97年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元,,,,,
政 府 別,普通基金債務餘額,,,非營業基金債務餘額,,,1年以上,,,,,
非自償債務,,,,,,,,,,,,
"總計""""",付息數,,,,,,,,,,,
,1 年 以 上,,未 滿 1 年,1 年 以 上,,未 滿 1 年,,,,,,
,自償,非自償,,自償,非自償,,,,,,,
合　計,158_ ,"6,215_ ",481_ ,"2,238_ ",40_ ,71_ ,"6,255_ ",131_ ,,,,
臺北縣,0_ ,"1,106_ ",0_ ,9_ ,0_ ,0_ ,"1,106_ ",11_ ,,,,
桃園縣,0_ ,359_ ,310_ ,0_ ,0_ ,0_ ,359_ ,6_ ,,,,
宜蘭縣,0_ ,46_ ,0_ ,115_ ,0_ ,0_ ,46_ ,1_ ,,,,
新竹縣,0_ ,30_ ,0_ ,7_ ,0_ ,0_ ,30_ ,0_ ,,,,
苗栗縣,0_ ,190_ ,0_ ,81_ ,0_ ,0_ ,190_ ,2_ ,,,,
臺中縣,0_ ,544_ ,0_ ,0_ ,0_ ,0_ ,544_ ,9_ ,,,,
彰化縣,0_ ,294_ ,0_ ,185_ ,40_ ,0_ ,334_ ,14_ ,,,,
南投縣,48_ ,416_ ,0_ ,243_ ,0_ ,0_ ,416_ ,18_ ,,,,
雲林縣,0_ ,108_ ,0_ ,259_ ,0_ ,0_ ,108_ ,6_ ,,,,
嘉義縣,70_ ,891_ ,0_ ,301_ ,0_ ,0_ ,891_ ,8_ ,,,,
臺南縣,0_ ,"1,552_ ",0_ ,558_ ,0_ ,71_ ,"1,552_ ",25_ ,,,,
高雄縣,0_ ,477_ ,0_ ,207_ ,0_ ,0_ ,477_ ,17_ ,,,,
屏東縣,40_ ,152_ ,41_ ,264_ ,0_ ,0_ ,152_ ,10_ ,,,,
臺東縣,0_ ,50_ ,0_ ,9_ ,0_ ,0_ ,50_ ,0_ ,,,,
花蓮縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
澎湖縣,0_ ,0_ ,130_ ,0_ ,0_ ,0_ ,0_ ,4_ ,,,,
金門縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
連江縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
表1.  各級政府債務負擔表－債務餘額,,,,,,,,,,,,
截至97年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元,,,,,
,普通基金債務餘額,,,非營業基金債務餘額,,,1年以上,,,,,
非自償債務,,,,,,,,,,,,
"總計""""",付息數,,,,,,,,,,,
